activity_id,id,name,category,sector,source,source_link,source_dataset,uncertainty,year,year_released,region,region_name,description,unit_type,unit,source_lca_activity,data_quality_flags,access_type,supported_calculation_methods,factor,factor_calculation_method,factor_calculation_origin,constituent_gases.co2e_total,constituent_gases.co2e_other,constituent_gases.co2,constituent_gases.ch4,constituent_gases.n2o
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,47c3fc2b-5579-4935-a673-a0dcd1e2970c,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2019,2021,CA,Canada,Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9546576,ar6,climatiq,,,1.944,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,1d0462cd-4bbc-4c0c-a18c-0abac8221a2f,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2020,2022,CA,Canada,Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9546576,ar6,climatiq,,,1.944,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,9c7ea149-39c2-477e-b0e9-0488ac6735ae,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2015,2017,CA-AB,"Alberta, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9536576,ar6,climatiq,,,1.943,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,8e5c4f55-051d-414f-b343-ffdb0f713940,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2016,2018,CA-AB,"Alberta, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9646576,ar6,climatiq,,,1.954,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,be5a9c93-dda4-4d32-9ed3-1770662ffaa2,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2017,2019,CA-AB,"Alberta, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9656576000000001,ar6,climatiq,,,1.955,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,a9f2b6af-9c89-4573-b5bf-fe2650c7458f,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2018,2020,CA-AB,"Alberta, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9726576,ar6,climatiq,,,1.962,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,ec30d58d-40c3-4310-af52-402e82092119,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2019,2021,CA-AB,"Alberta, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9726576,ar6,climatiq,,,1.962,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,6a4f5be7-f43c-4718-9f37-2d8d62d56cdb,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2020,2022,CA-AB,"Alberta, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9726576,ar6,climatiq,,,1.962,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,20c4e649-ca73-4c5e-9b3b-ff9a8005696b,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2015,2017,CA-BC,"British Columbia, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9496576,ar6,climatiq,,,1.939,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,4268452d-3fb0-4858-8e26-b4950ba0bb70,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2016,2018,CA-BC,"British Columbia, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9516576,ar6,climatiq,,,1.941,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,85231931-72da-4297-a196-64bd125baca0,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2017,2019,CA-BC,"British Columbia, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9656576000000001,ar6,climatiq,,,1.955,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,ca6ba377-4048-4b1c-95a6-696991a98d4e,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2018,2020,CA-BC,"British Columbia, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9766576,ar6,climatiq,,,1.966,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,ff4150b2-9be9-46c5-af1a-2f134005a509,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2019,2021,CA-BC,"British Columbia, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9766576,ar6,climatiq,,,1.966,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,e9d213c5-d8af-4fe3-81c2-5abcf103d4ef,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2020,2022,CA-BC,"British Columbia, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9766576,ar6,climatiq,,,1.966,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,6f550726-424d-4be6-85d7-130128154dc4,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2015,2017,CA-MB,"Manitoba, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9156576,ar6,climatiq,,,1.905,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,010b4e18-dd96-4cf6-a746-125e4ead2596,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2016,2018,CA-MB,"Manitoba, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9066576,ar6,climatiq,,,1.896,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,9c112d63-3afe-4ddc-aa57-c1c76cbf1220,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2017,2019,CA-MB,"Manitoba, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9136576,ar6,climatiq,,,1.903,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,1ea96cc8-8ec5-42a0-88df-07372859ae30,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2018,2020,CA-MB,"Manitoba, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9256576,ar6,climatiq,,,1.915,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,7ed71fe2-4191-4239-86e4-a01a2df37a40,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2019,2021,CA-MB,"Manitoba, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9256576,ar6,climatiq,,,1.915,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,0a7c756b-d8d9-4acc-8236-3fac9c66b830,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2020,2022,CA-MB,"Manitoba, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9256576,ar6,climatiq,,,1.915,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,f58dab43-0f66-4176-8d33-cc739b509d3b,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2015,2017,CA-NB,"New Brunswick, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9106576,ar6,climatiq,,,1.9,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,47bf05ea-299a-4208-8e3d-64d5203c3d86,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2016,2018,CA-NB,"New Brunswick, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9246576,ar6,climatiq,,,1.914,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,03045e88-3dbb-4f4e-9452-c8573194bc79,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2017,2019,CA-NB,"New Brunswick, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9246576,ar6,climatiq,,,1.914,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,8e2520e8-c237-4073-9c5b-b6207714b160,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2018,2020,CA-NB,"New Brunswick, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9286576,ar6,climatiq,,,1.918,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,e48cc4aa-6568-406b-aa4b-c5b64df787b9,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2019,2021,CA-NB,"New Brunswick, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9316576,ar6,climatiq,,,1.921,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,f2969a20-aeb6-4b8b-8067-6899fdc633ec,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2020,2022,CA-NB,"New Brunswick, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9316576,ar6,climatiq,,,1.921,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,7cf96ca9-9443-4d48-a4d5-df356652e9e1,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2015,2017,CA-NL,"Newfoundland and Labrador, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9106576,ar6,climatiq,,,1.9,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,5f4716d0-3846-4c7d-b079-1342c04e2790,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2016,2018,CA-NL,"Newfoundland and Labrador, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9246576,ar6,climatiq,,,1.914,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,6709d5dc-8733-4b9a-a1e9-7f153bfe217f,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2017,2019,CA-NL,"Newfoundland and Labrador, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9246576,ar6,climatiq,,,1.914,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,7459aed3-8c28-40f1-99bc-b8bd8170d55e,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2018,2020,CA-NL,"Newfoundland and Labrador, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9286576,ar6,climatiq,,,1.918,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,22335993-3e1a-4d0e-939c-a2a8339779d8,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2019,2021,CA-NL,"Newfoundland and Labrador, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9316576,ar6,climatiq,,,1.921,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,b16f089d-d392-48e7-b264-3b12ea19226f,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2020,2022,CA-NL,"Newfoundland and Labrador, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9316576,ar6,climatiq,,,1.921,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,83b674ac-9218-44c1-8dcf-53cd6c451878,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2015,2017,CA-NS,"Nova Scotia, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9106576,ar6,climatiq,,,1.9,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,6f0be694-99cc-4da9-89cd-1207aa895961,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2016,2018,CA-NS,"Nova Scotia, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9246576,ar6,climatiq,,,1.914,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,9c793b39-4bb9-400a-9521-1bf4b756f9ff,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2017,2019,CA-NS,"Nova Scotia, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9246576,ar6,climatiq,,,1.914,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,f397fe5f-2b08-434e-8e90-1f29ba54f1aa,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2018,2020,CA-NS,"Nova Scotia, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9286576,ar6,climatiq,,,1.918,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,fe5b1bef-6eef-4c81-b9cd-bbeeda403f1d,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2019,2021,CA-NS,"Nova Scotia, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9316576,ar6,climatiq,,,1.921,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,fbae1ecb-c183-4a30-8556-0b9a4d3c2b9e,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2020,2022,CA-NS,"Nova Scotia, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9316576,ar6,climatiq,,,1.921,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,77cd8cd7-1b3a-4faa-83f0-177e00a9f08b,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2015,2017,CA-NT,"Northwest Territories, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9496576,ar6,climatiq,,,1.939,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,72435a65-0949-408b-96f2-9a4be31565eb,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2016,2018,CA-NT,"Northwest Territories, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9516576,ar6,climatiq,,,1.941,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,30265df2-3000-48cb-bf71-fd253ee6a345,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2017,2019,CA-NT,"Northwest Territories, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9656576000000001,ar6,climatiq,,,1.955,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,980a2551-d6a3-4385-9652-02c0e8565784,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2018,2020,CA-NT,"Northwest Territories, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9766576,ar6,climatiq,,,1.966,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,89f1e692-5e7b-4f90-a30f-030265c04333,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2019,2021,CA-NT,"Northwest Territories, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9766576,ar6,climatiq,,,1.966,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,a6cf14c7-9a0f-4392-be6d-e27eaec0c919,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2020,2022,CA-NT,"Northwest Territories, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9766576,ar6,climatiq,,,1.966,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,d52d5c0e-0f47-4991-b8e2-64df81d6182c,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2015,2017,CA-NU,"Nunavut, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9496576,ar6,climatiq,,,1.939,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,11de463b-91e7-4cc8-b7dd-4b283f146ec3,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2016,2018,CA-NU,"Nunavut, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9516576,ar6,climatiq,,,1.941,3.7e-05,3.5e-05
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,1b28dab5-536f-4437-9f73-bd0717a133f7,Natural gas (residential/construction/commercial/institutional/agriculture subsector),Fuel,Energy,UNFCCC,https://unfccc.int/documents/461919,National Inventory Report,,2017,2019,CA-NU,"Nunavut, CA",Emission intensity of natural gas (marketable) consumed by residential/construction/commercial/institutional/agriculture subsector. Published in Canada 2022 National Inventory Report (NIR).,Volume,kg/m3,fuel_combustion,[],public,"['ar4', 'ar5']",1.9656576000000001,ar6,climatiq,,,1.955,3.7e-05,3.5e-05
